distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte,origen
12-4,2,SVM,DeepONMF_W,2,PROMEDIO_MACRO,140,740,60,60,0.8800000000000001,0.7,0.925,0.6995939226589382,0.8125,200,anterior
12-4,2,SVM,DeepONMF_W,3,PROMEDIO_MACRO,139,739,61,61,0.8780000000000001,0.6950000000000001,0.92375,0.6985531681960253,0.809375,200,anterior
12-4,2,SVM,DeepONMF_W,4,PROMEDIO_MACRO,139,739,61,61,0.8780000000000001,0.695,0.92375,0.7072515782090251,0.809375,200,anterior
12-4,2,SVM,DeepONMF_W,5,PROMEDIO_MACRO,148,748,52,52,0.8960000000000001,0.74,0.935,0.73859399328887,0.8375,200,anterior
12-4,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,194,794,6,6,0.988,0.97,0.9925,0.9707770998244772,0.98125,200,anterior
12-4,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9177325172062014,0.946875,200,anterior
12-4,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.928203585645446,0.953125,200,anterior
12-4,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.935375939849624,0.959375,200,anterior
12-4,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,194,794,6,6,0.988,0.97,0.9925,0.9702067786727608,0.98125,200,anterior
12-4,2,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,170,770,30,30,0.9399999999999998,0.85,0.9625,0.8601020964850752,0.90625,200,anterior
12-4,2,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8838510898085365,0.921875,200,anterior
12-4,2,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,159,759,41,41,0.918,0.795,0.94875,0.8113984812597209,0.871875,200,anterior
12-4,2,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,169,769,31,31,0.938,0.845,0.96125,0.8517624521072797,0.903125,200,anterior
12-4,2,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,174,774,26,26,0.948,0.8700000000000001,0.9675,0.8765095517084417,0.91875,200,anterior
12-5,2,KNN,DeepONMF_H2,1,PROMEDIO_MACRO,169,769,31,31,0.938,0.845,0.96125,0.8625505694373619,0.903125,200,anterior
12-5,2,KNN,DeepONMF_H2,2,PROMEDIO_MACRO,163,763,37,37,0.926,0.8150000000000001,0.95375,0.8246032752758209,0.884375,200,anterior
12-5,2,KNN,DeepONMF_H2,3,PROMEDIO_MACRO,160,760,40,40,0.9200000000000002,0.8,0.95,0.80596778361616,0.875,200,anterior
12-5,2,KNN,DeepONMF_H2,4,PROMEDIO_MACRO,162,762,38,38,0.924,0.8099999999999999,0.9525,0.8215157786430017,0.88125,200,anterior
12-5,2,KNN,DeepONMF_H2,5,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8494110399195145,0.890625,200,anterior
12-5,2,KNN,DeepONMF_W,1,PROMEDIO_MACRO,111,711,89,89,0.8219999999999998,0.555,0.8887499999999999,0.5929824561403509,0.721875,200,anterior
12-5,2,KNN,DeepONMF_W,2,PROMEDIO_MACRO,111,711,89,89,0.8219999999999998,0.5549999999999999,0.8887499999999999,0.5994704570791527,0.721875,200,anterior
12-5,2,KNN,DeepONMF_W,3,PROMEDIO_MACRO,107,707,93,93,0.8140000000000001,0.535,0.88375,0.5656651814866824,0.709375,200,anterior
12-5,2,KNN,DeepONMF_W,4,PROMEDIO_MACRO,110,710,90,90,0.82,0.55,0.8875,0.5789961066187481,0.71875,200,anterior
12-5,2,KNN,DeepONMF_W,5,PROMEDIO_MACRO,121,721,79,79,0.8419999999999999,0.605,0.90125,0.6683460467168583,0.753125,200,anterior
12-5,2,SVM,DeepONMF_H2,1,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.914936326033887,0.94375,200,anterior
12-5,2,SVM,DeepONMF_H2,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8824591484165951,0.925,200,anterior
12-5,2,SVM,DeepONMF_H2,3,PROMEDIO_MACRO,176,776,24,24,0.9520000000000002,0.8800000000000001,0.97,0.8807070448930914,0.925,200,anterior
12-5,2,SVM,DeepONMF_H2,4,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.896025641025641,0.934375,200,anterior
12-5,2,SVM,DeepONMF_H2,5,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9217582417582418,0.95,200,anterior
12-5,2,SVM,DeepONMF_W,1,PROMEDIO_MACRO,143,743,57,57,0.8859999999999999,0.715,0.92875,0.7275894789838881,0.821875,200,anterior
12-5,2,SVM,DeepONMF_W,2,PROMEDIO_MACRO,142,742,58,58,0.884,0.7100000000000001,0.9275,0.7202566756914582,0.81875,200,anterior
12-5,2,SVM,DeepONMF_W,3,PROMEDIO_MACRO,133,733,67,67,0.866,0.665,0.91625,0.6618430817302998,0.790625,200,anterior
12-5,2,SVM,DeepONMF_W,4,PROMEDIO_MACRO,142,742,58,58,0.884,0.71,0.9275,0.7074349084897726,0.81875,200,anterior
12-5,2,SVM,DeepONMF_W,5,PROMEDIO_MACRO,142,742,58,58,0.884,0.7100000000000001,0.9275,0.717544990723562,0.81875,200,anterior
12-5,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,193,793,7,7,0.986,0.965,0.99125,0.965713839006522,0.978125,200,anterior
12-5,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9189717537085956,0.946875,200,anterior
12-5,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.9200000000000002,0.98,0.9233036935704516,0.95,200,anterior
12-5,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.9200000000000002,0.98,0.92388701234239,0.95,200,anterior
12-5,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,193,793,7,7,0.986,0.965,0.99125,0.9660492695152516,0.978125,200,anterior
12-5,2,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,173,773,27,27,0.946,0.865,0.96625,0.8714593196300514,0.915625,200,anterior
12-5,2,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.8950215208034432,0.928125,200,anterior
12-5,2,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,164,764,36,36,0.928,0.8200000000000001,0.955,0.830745136780417,0.8875,200,anterior
12-5,2,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,169,769,31,31,0.938,0.845,0.96125,0.8445309606753915,0.903125,200,anterior
12-5,2,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.8470498455160707,0.9,200,anterior
12-5-4,3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8807441342966265,0.921875,200,anterior
12-5-4,3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8355576780917667,0.890625,200,anterior
12-5-4,3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,163,763,37,37,0.926,0.8150000000000001,0.95375,0.8174577383373439,0.884375,200,anterior
12-5-4,3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,164,764,36,36,0.928,0.8200000000000001,0.955,0.8232648626636149,0.8875,200,anterior
12-5-4,3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,166,766,34,34,0.932,0.8300000000000001,0.9575,0.8600119094426495,0.89375,200,anterior
12-5-4,3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,124,724,76,76,0.8480000000000001,0.62,0.905,0.6818735550164121,0.7625,200,anterior
12-5-4,3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,116,716,84,84,0.8320000000000001,0.58,0.8949999999999999,0.6428419408529353,0.7375,200,anterior
12-5-4,3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,124,724,76,76,0.8480000000000001,0.62,0.905,0.6495836388042724,0.7625,200,anterior
12-5-4,3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,121,721,79,79,0.842,0.605,0.90125,0.6174688057040998,0.753125,200,anterior
12-5-4,3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,128,728,72,72,0.8560000000000001,0.64,0.91,0.7092125973196296,0.775,200,anterior
12-5-4,3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9329659737317268,0.95625,200,anterior
12-5-4,3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8958579375267437,0.934375,200,anterior
12-5-4,3,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.8866795865633075,0.928125,200,anterior
12-5-4,3,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,177,777,23,23,0.954,0.8850000000000001,0.97125,0.8855205281135963,0.928125,200,anterior
12-5-4,3,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825000000000002,0.9325303558230388,0.95625,200,anterior
12-5-4,3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,145,745,55,55,0.89,0.725,0.93125,0.7530490827585368,0.828125,200,anterior
12-5-4,3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,142,742,58,58,0.884,0.7100000000000001,0.9275,0.7189786529260213,0.81875,200,anterior
12-5-4,3,SVM,DeepONMF_W,3,PROMEDIO_MACRO,137,737,63,63,0.874,0.6849999999999999,0.92125,0.681092372539741,0.803125,200,anterior
12-5-4,3,SVM,DeepONMF_W,4,PROMEDIO_MACRO,145,745,55,55,0.89,0.725,0.93125,0.7222294372294372,0.828125,200,anterior
12-5-4,3,SVM,DeepONMF_W,5,PROMEDIO_MACRO,147,747,53,53,0.8939999999999999,0.7350000000000001,0.93375,0.7395851640775807,0.834375,200,anterior
12-5-4,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,193,793,7,7,0.986,0.965,0.99125,0.9666769751429573,0.978125,200,anterior
12-5-4,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,183,783,17,17,0.966,0.9149999999999998,0.97875,0.915247781916588,0.946875,200,anterior
12-5-4,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9321208126086176,0.95625,200,anterior
12-5-4,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.9862499999999998,0.9451094434021264,0.965625,200,anterior
12-5-4,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,194,794,6,6,0.988,0.97,0.9925,0.970689223057644,0.98125,200,anterior
12-5-4,3,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,171,771,29,29,0.942,0.8549999999999999,0.96375,0.8644966705836271,0.909375,200,anterior
12-5-4,3,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,171,771,29,29,0.942,0.8550000000000001,0.96375,0.8591336869305046,0.909375,200,anterior
12-5-4,3,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8465285923753665,0.896875,200,anterior
12-5-4,3,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,171,771,29,29,0.942,0.8550000000000001,0.96375,0.8586523109545308,0.909375,200,anterior
12-5-4,3,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,174,774,26,26,0.948,0.8699999999999999,0.9675,0.8727275657508216,0.91875,200,anterior
12-6,2,KNN,DeepONMF_H2,1,PROMEDIO_MACRO,163,763,37,37,0.926,0.8150000000000001,0.95375,0.8275278224839914,0.884375,200,anterior
12-6,2,KNN,DeepONMF_H2,2,PROMEDIO_MACRO,163,763,37,37,0.926,0.8150000000000001,0.95375,0.8292775276637148,0.884375,200,anterior
12-6,2,KNN,DeepONMF_H2,3,PROMEDIO_MACRO,164,764,36,36,0.928,0.82,0.9549999999999998,0.8234993857493859,0.8875,200,anterior
12-6,2,KNN,DeepONMF_H2,4,PROMEDIO_MACRO,159,759,41,41,0.918,0.7950000000000002,0.94875,0.8147698754298467,0.871875,200,anterior
12-6,2,KNN,DeepONMF_H2,5,PROMEDIO_MACRO,159,759,41,41,0.918,0.795,0.94875,0.8253538261412643,0.871875,200,anterior
12-6,2,KNN,DeepONMF_W,1,PROMEDIO_MACRO,118,718,82,82,0.8360000000000001,0.59,0.8975,0.61662486938349,0.74375,200,anterior
12-6,2,KNN,DeepONMF_W,2,PROMEDIO_MACRO,101,701,99,99,0.8019999999999999,0.5050000000000001,0.8762500000000001,0.5244296002153722,0.690625,200,anterior
12-6,2,KNN,DeepONMF_W,3,PROMEDIO_MACRO,102,702,98,98,0.8039999999999999,0.5099999999999999,0.8775000000000001,0.5305124223602484,0.69375,200,anterior
12-6,2,KNN,DeepONMF_W,4,PROMEDIO_MACRO,107,707,93,93,0.8140000000000001,0.5349999999999999,0.8837499999999998,0.5515655736345392,0.709375,200,anterior
12-6,2,KNN,DeepONMF_W,5,PROMEDIO_MACRO,112,712,88,88,0.8239999999999998,0.5599999999999999,0.89,0.6000517509056409,0.7249999999999999,200,anterior
12-6,2,SVM,DeepONMF_H2,1,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9173168707722482,0.946875,200,anterior
12-6,2,SVM,DeepONMF_H2,2,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8913495535446755,0.93125,200,anterior
12-6,2,SVM,DeepONMF_H2,3,PROMEDIO_MACRO,174,774,26,26,0.9479999999999998,0.8699999999999999,0.9675,0.8709581668294388,0.91875,200,anterior
12-6,2,SVM,DeepONMF_H2,4,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8800539811066127,0.925,200,anterior
12-6,2,SVM,DeepONMF_H2,5,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9186608751730432,0.946875,200,anterior
12-6,2,SVM,DeepONMF_W,1,PROMEDIO_MACRO,131,731,69,69,0.8620000000000001,0.655,0.91375,0.6606231313731314,0.7843749999999999,200,anterior
12-6,2,SVM,DeepONMF_W,2,PROMEDIO_MACRO,149,749,51,51,0.898,0.7449999999999999,0.93625,0.750130081300813,0.840625,200,anterior
12-6,2,SVM,DeepONMF_W,3,PROMEDIO_MACRO,135,735,65,65,0.8699999999999999,0.675,0.91875,0.6715256635569589,0.796875,200,anterior
12-6,2,SVM,DeepONMF_W,4,PROMEDIO_MACRO,138,738,62,62,0.876,0.6900000000000001,0.9225,0.6929646745040989,0.80625,200,anterior
12-6,2,SVM,DeepONMF_W,5,PROMEDIO_MACRO,136,736,64,64,0.8719999999999999,0.6799999999999999,0.92,0.6657974870657797,0.8,200,anterior
12-6,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,194,794,6,6,0.988,0.97,0.9925,0.9711962833914054,0.98125,200,anterior
12-6,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9224108633104962,0.95,200,anterior
12-6,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9358612163490212,0.959375,200,anterior
12-6,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.926105385842228,0.953125,200,anterior
12-6,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.9757080318055928,0.9843749999999998,200,anterior
12-6,2,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,162,762,38,38,0.924,0.8099999999999999,0.9525,0.8208527855586679,0.88125,200,anterior
12-6,2,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8799904443382704,0.921875,200,anterior
12-6,2,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,158,758,42,42,0.916,0.79,0.9475,0.8201922629516922,0.86875,200,anterior
12-6,2,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,174,774,26,26,0.948,0.8699999999999999,0.9675,0.8727800877800878,0.91875,200,anterior
12-6,2,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.850513668526091,0.9,200,anterior
12-6-5,3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,171,771,29,29,0.942,0.8550000000000001,0.96375,0.8607017543859647,0.909375,200,anterior
12-6-5,3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,164,764,36,36,0.9280000000000002,0.82,0.955,0.847484094852516,0.8875,200,anterior
12-6-5,3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,160,760,40,40,0.92,0.7999999999999999,0.95,0.8159697433282339,0.875,200,anterior
12-6-5,3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,157,757,43,43,0.914,0.7849999999999999,0.94625,0.8092082917082918,0.865625,200,anterior
12-6-5,3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8599978756875309,0.890625,200,anterior
12-6-5,3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,121,721,79,79,0.842,0.605,0.90125,0.6452123388855023,0.753125,200,anterior
12-6-5,3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,113,713,87,87,0.826,0.5650000000000002,0.89125,0.5951408885232415,0.728125,200,anterior
12-6-5,3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,127,727,73,73,0.8539999999999999,0.635,0.9087499999999998,0.6765256642933595,0.771875,200,anterior
12-6-5,3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,118,718,82,82,0.836,0.59,0.8975000000000002,0.6171029068798933,0.7437500000000001,200,anterior
12-6-5,3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,123,723,77,77,0.8460000000000001,0.615,0.90375,0.6666554363756696,0.7593750000000001,200,anterior
12-6-5,3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9075892251736282,0.9375,200,anterior
12-6-5,3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,173,773,27,27,0.946,0.865,0.96625,0.8660482271351835,0.9156249999999998,200,anterior
12-6-5,3,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,173,773,27,27,0.946,0.865,0.96625,0.8655383955383955,0.915625,200,anterior
12-6-5,3,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8762265277487536,0.921875,200,anterior
12-6-5,3,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,184,784,16,16,0.968,0.9200000000000002,0.98,0.9231406938853748,0.95,200,anterior
12-6-5,3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,157,757,43,43,0.914,0.785,0.94625,0.7963046300189768,0.865625,200,anterior
12-6-5,3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,152,752,48,48,0.904,0.76,0.9399999999999998,0.7586449016100179,0.85,200,anterior
12-6-5,3,SVM,DeepONMF_W,3,PROMEDIO_MACRO,139,739,61,61,0.8780000000000001,0.6950000000000001,0.92375,0.6931679040317228,0.809375,200,anterior
12-6-5,3,SVM,DeepONMF_W,4,PROMEDIO_MACRO,143,743,57,57,0.8860000000000001,0.7150000000000001,0.92875,0.7098543132023607,0.821875,200,anterior
12-6-5,3,SVM,DeepONMF_W,5,PROMEDIO_MACRO,142,742,58,58,0.884,0.7100000000000001,0.9275,0.7116143790849673,0.81875,200,anterior
12-6-5,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.941138086719482,0.9625,200,anterior
12-6-5,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8862498522982394,0.925,200,anterior
12-6-5,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9273809523809524,0.953125,200,anterior
12-6-5,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9559120525910088,0.971875,200,anterior
12-6-5,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,194,794,6,6,0.988,0.97,0.9925,0.9716392512762336,0.98125,200,anterior
12-6-5,3,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.8449248992183179,0.9,200,anterior
12-6-5,3,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8914144754891924,0.9250000000000002,200,anterior
12-6-5,3,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,166,766,34,34,0.932,0.8300000000000001,0.9575,0.8357180500658762,0.89375,200,anterior
12-6-5,3,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,168,768,32,32,0.9360000000000002,0.8400000000000001,0.96,0.847248062015504,0.9,200,anterior
12-6-5,3,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.840354164772456,0.896875,200,anterior
12-7,2,KNN,DeepONMF_H2,1,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.8611949611949612,0.9,200,anterior
12-7,2,KNN,DeepONMF_H2,2,PROMEDIO_MACRO,156,756,44,44,0.912,0.78,0.945,0.7978344318344318,0.8625,200,anterior
12-7,2,KNN,DeepONMF_H2,3,PROMEDIO_MACRO,149,749,51,51,0.898,0.7449999999999999,0.93625,0.7703607503607504,0.8406250000000002,200,anterior
12-7,2,KNN,DeepONMF_H2,4,PROMEDIO_MACRO,163,763,37,37,0.9259999999999998,0.8150000000000001,0.95375,0.8261231028096623,0.884375,200,anterior
12-7,2,KNN,DeepONMF_H2,5,PROMEDIO_MACRO,159,759,41,41,0.918,0.7949999999999999,0.94875,0.8306812190279933,0.871875,200,anterior
12-7,2,KNN,DeepONMF_W,1,PROMEDIO_MACRO,105,705,95,95,0.8099999999999999,0.525,0.8812500000000002,0.5590861336094601,0.703125,200,anterior
12-7,2,KNN,DeepONMF_W,2,PROMEDIO_MACRO,101,701,99,99,0.8019999999999999,0.505,0.87625,0.5181482359448462,0.690625,200,anterior
12-7,2,KNN,DeepONMF_W,3,PROMEDIO_MACRO,102,702,98,98,0.804,0.51,0.8774999999999998,0.5478329831910504,0.69375,200,anterior
12-7,2,KNN,DeepONMF_W,4,PROMEDIO_MACRO,98,698,102,102,0.796,0.4899999999999999,0.8725000000000002,0.5047069051167412,0.68125,200,anterior
12-7,2,KNN,DeepONMF_W,5,PROMEDIO_MACRO,114,714,86,86,0.828,0.5700000000000001,0.8925000000000001,0.5912189902166317,0.73125,200,anterior
12-7,2,SVM,DeepONMF_H2,1,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.9006970767933659,0.934375,200,anterior
12-7,2,SVM,DeepONMF_H2,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8821088331957897,0.925,200,anterior
12-7,2,SVM,DeepONMF_H2,3,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8903664251767067,0.93125,200,anterior
12-7,2,SVM,DeepONMF_H2,4,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.8851674641148325,0.928125,200,anterior
12-7,2,SVM,DeepONMF_H2,5,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9047208876687256,0.9375,200,anterior
12-7,2,SVM,DeepONMF_W,1,PROMEDIO_MACRO,139,739,61,61,0.8779999999999999,0.6950000000000001,0.9237499999999998,0.7036452995832481,0.809375,200,anterior
12-7,2,SVM,DeepONMF_W,2,PROMEDIO_MACRO,133,733,67,67,0.866,0.6649999999999999,0.91625,0.662183927183927,0.7906250000000001,200,anterior
12-7,2,SVM,DeepONMF_W,3,PROMEDIO_MACRO,126,726,74,74,0.852,0.63,0.9075,0.6286014325537753,0.76875,200,anterior
12-7,2,SVM,DeepONMF_W,4,PROMEDIO_MACRO,134,734,66,66,0.868,0.6699999999999999,0.9175,0.6626453955117739,0.79375,200,anterior
12-7,2,SVM,DeepONMF_W,5,PROMEDIO_MACRO,136,736,64,64,0.8720000000000001,0.6799999999999999,0.92,0.6739593280282936,0.8,200,anterior
12-7,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.950013365013365,0.96875,200,anterior
12-7,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9774999999999998,0.9135321191245732,0.94375,200,anterior
12-7,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9458536585365854,0.965625,200,anterior
12-7,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.95088604949697,0.96875,200,anterior
12-7,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,193,793,7,7,0.986,0.965,0.99125,0.9657008374595024,0.978125,200,anterior
12-7,2,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,174,774,26,26,0.948,0.8699999999999999,0.9675,0.8816240310077518,0.91875,200,anterior
12-7,2,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,172,772,28,28,0.9440000000000002,0.86,0.965,0.8672699008085354,0.9125,200,anterior
12-7,2,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,163,763,37,37,0.926,0.8150000000000001,0.95375,0.8291450216450216,0.884375,200,anterior
12-7,2,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,169,769,31,31,0.938,0.845,0.96125,0.8497180342156483,0.903125,200,anterior
12-7,2,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,166,766,34,34,0.932,0.8299999999999998,0.9575,0.8380918807005765,0.89375,200,anterior
12-8-3,3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8558116165663335,0.896875,200,anterior
12-8-3,3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8456997358042655,0.896875,200,anterior
12-8-3,3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,166,766,34,34,0.932,0.8299999999999998,0.9575,0.8407128114403657,0.89375,200,anterior
12-8-3,3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,171,771,29,29,0.942,0.8549999999999999,0.96375,0.8670326008820501,0.909375,200,anterior
12-8-3,3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,160,760,40,40,0.92,0.8,0.95,0.8395174433409729,0.875,200,anterior
12-8-3,3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,134,734,66,66,0.868,0.6700000000000002,0.9175,0.7015636902956146,0.79375,200,anterior
12-8-3,3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,136,736,64,64,0.8720000000000001,0.68,0.92,0.717402813644388,0.8,200,anterior
12-8-3,3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,135,735,65,65,0.8699999999999999,0.675,0.91875,0.7044927536231883,0.7968750000000001,200,anterior
12-8-3,3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,127,727,73,73,0.8540000000000001,0.635,0.9087499999999998,0.6501793743654208,0.771875,200,anterior
